Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,14.69456966,0.00018979,0.00018892,0.00019045,0.00018824,0.00018945
1493597100,1.5920405,0.00019013,0.00019011,0.00019015,0.00018893,0.00019012
1493597400,1.49002787,0.00019001,0.00019056,0.00019056,0.00019,0.00019025
1493597700,1.59906833,0.00019056,0.00018987,0.00019056,0.00018946,0.00019
1493598000,1.18299651,0.00018971,0.00018998,0.00018999,0.0001897,0.00018987
1493598300,0.1471611,0.00018993,0.00018998,0.00018999,0.0001899,0.00018997
1493598600,2.0207323,0.00018994,0.00019056,0.00019056,0.0001899,0.00019023
1493598900,0.91761735,0.00019056,0.00019055,0.00019057,0.00018999,0.00019045
1493599200,2.2203283,0.00019054,0.00018999,0.00019055,0.00018988,0.0001899
1493599500,1.44364615,0.00018995,0.00018989,0.00018999,0.00018987,0.00018989
1493599800,1.00324496,0.00018988,0.00019052,0.00019052,0.00018951,0.00018995
1493600100,0.47727718,0.00018952,0.00019054,0.00019055,0.00018952,0.00019012
1493600400,0.96963325,0.00019054,0.00019069,0.00019069,0.00019053,0.00019056
1493600700,0.80250091,0.00019069,0.00019062,0.00019069,0.00019052,0.00019059
1493601000,1.00155753,0.00019062,0.00019102,0.0001911,0.00019062,0.00019096
1493601300,3.44193561,0.00019102,0.00019133,0.00019133,0.00019102,0.00019124
1493601600,6.20461306,0.00019123,0.00019181,0.000193,0.00019112,0.00019192
1493601900,3.05023456,0.00019251,0.00019358,0.00019359,0.00019187,0.0001933
1493602200,1.70484351,0.00019358,0.00019227,0.00019359,0.00019222,0.00019286
1493602500,9.4990811,0.00019256,0.00019179,0.00019258,0.00019101,0.0001917
1493602800,1.00276054,0.0001918,0.00019171,0.0001918,0.000191,0.00019123
1493603100,0.10212821,0.00019171,0.000191,0.00019171,0.000191,0.00019134
1493603400,0.22941405,0.00019168,0.00019062,0.00019168,0.00019062,0.00019087
1493603700,0.35850164,0.00019081,0.00019082,0.00019167,0.00019065,0.00019092
1493604000,0.81923981,0.00019163,0.00019171,0.00019171,0.0001916,0.0001916
1493604300,0.04514143,0.00019172,0.00019173,0.00019174,0.00019171,0.00019172
1493604600,0.30153912,0.00019174,0.0001918,0.0001918,0.00019174,0.00019179
1493604900,3.66101724,0.00019176,0.00019176,0.0001918,0.00019172,0.00019173
1493605200,0.01428372,0.00019175,0.0001918,0.0001918,0.00019174,0.00019174
1493605500,0.421262,0.0001918,0.00019175,0.0001918,0.00019174,0.00019175
1493605800,16.13166757,0.00019174,0.00019081,0.00019199,0.00019081,0.00019152
1493606100,0.01529157,0.00019176,0.00019176,0.00019176,0.00019139,0.00019147
1493606400,3.36235678,0.00019176,0.00019179,0.0001918,0.00019088,0.00019173
1493606700,1.34787059,0.00019178,0.00019178,0.00019179,0.00019149,0.00019177
1493607000,3.50526314,0.00019177,0.00019177,0.0001918,0.00019112,0.00019176
1493607300,9.0259219,0.00019112,0.000192,0.000192,0.00019052,0.00019084
1493607600,3.13042967,0.00019198,0.000192,0.000192,0.00019128,0.00019157
1493607900,2.60957416,0.00019179,0.0001918,0.000192,0.00019057,0.00019146
1493608200,0.76140374,0.0001918,0.0001918,0.000192,0.0001918,0.00019185
1493608500,0.52372526,0.00019179,0.0001918,0.0001918,0.00019108,0.00019139
1493608800,2.56896975,0.00019179,0.00019277,0.00019302,0.00019179,0.0001923
1493609100,8.3831646,0.000192,0.00019163,0.00019245,0.00019052,0.00019128
1493609400,28.03856001,0.00019102,0.00019151,0.00019257,0.00018763,0.00018995
1493609700,2.04793203,0.00019151,0.00018946,0.00019176,0.00018868,0.00018966
1493610000,0.7349532,0.00018946,0.00018946,0.00018946,0.00018856,0.00018893
1493610300,0.69133177,0.00018931,0.00018931,0.00019004,0.00018869,0.00018902
1493610600,2.58527128,0.00018934,0.00018851,0.00018934,0.00018806,0.00018855
1493610900,11.76909079,0.00018849,0.00019179,0.00019357,0.00018848,0.0001912
1493611200,1.73357661,0.00019178,0.00019198,0.00019257,0.00019024,0.00019087
1493611500,1.14169705,0.00019198,0.00019322,0.00019337,0.00019198,0.00019293
1493611800,0.07549941,0.00019259,0.00019336,0.00019336,0.00019259,0.00019303
1493612100,0.45295275,0.00019309,0.00019316,0.00019316,0.00019308,0.00019311
1493612400,0.1109517,0.00019317,0.00019334,0.00019334,0.00019317,0.00019333
1493612700,3.93749763,0.00019336,0.00019359,0.00019359,0.00019334,0.00019357
1493613000,3.18761652,0.00019336,0.00019335,0.00019348,0.000193,0.00019309
1493613300,0.29607088,0.00019346,0.00019347,0.00019351,0.00019346,0.00019348
1493613600,0.11031275,0.00019356,0.00019357,0.00019358,0.00019347,0.00019356
1493613900,3.73156405,0.00019358,0.00019357,0.00019403,0.00019357,0.00019365
1493614200,2.07741196,0.00019357,0.00019461,0.00019462,0.00019357,0.00019436
1493614500,0.42660439,0.00019461,0.00019461,0.00019462,0.0001946,0.0001946
1493614800,0.51213374,0.00019461,0.00019474,0.00019475,0.00019461,0.00019463
1493615100,3.19681889,0.00019474,0.000195,0.000195,0.00019474,0.00019497
1493615400,0.08904344,0.00019482,0.00019488,0.00019499,0.00019482,0.00019489
1493615700,2.87049546,0.00019487,0.00019487,0.000195,0.00019487,0.00019497
1493616000,2.60545355,0.00019487,0.000195,0.000195,0.00019487,0.00019497
1493616300,2.52415414,0.000195,0.00019534,0.00019534,0.00019499,0.00019503
1493616600,0.37259407,0.00019533,0.00019533,0.00019533,0.00019502,0.00019524
1493616900,0.32418389,0.00019533,0.0001952,0.00019533,0.00019519,0.00019519
1493617200,1.05262212,0.00019506,0.00019533,0.00019533,0.00019499,0.00019504
1493617500,0.46141362,0.00019519,0.00019504,0.00019534,0.00019504,0.00019526
1493617800,13.28346903,0.00019499,0.00019148,0.00019499,0.0001911,0.00019252
1493618100,33.09435878,0.00019148,0.000186,0.00019148,0.00018552,0.00018806
1493618400,5.77577286,0.000186,0.00018868,0.00018868,0.00018592,0.00018661
1493618700,4.34828946,0.0001888,0.00018954,0.00018954,0.00018868,0.00018886
1493619000,0.39461504,0.00018929,0.00019022,0.00019022,0.00018929,0.00019
1493619300,0.74852347,0.00019023,0.0001904,0.0001904,0.00019023,0.00019033
1493619600,0.37196314,0.0001904,0.00019101,0.00019101,0.0001904,0.00019079
1493619900,0.76688848,0.0001906,0.00019115,0.00019118,0.00019057,0.00019108
1493620200,2.13106113,0.00019117,0.000191,0.00019133,0.00019096,0.00019121
1493620500,0.76464146,0.00019098,0.00019133,0.00019133,0.00019098,0.00019102
1493620800,4.13696232,0.00019102,0.00019096,0.00019102,0.00019039,0.00019074
1493621100,10.87407097,0.00019132,0.00019371,0.00019375,0.0001912,0.00019209
1493621400,0.33219322,0.00019358,0.00019358,0.00019361,0.00019357,0.00019359
1493621700,5.2236087,0.00019358,0.00019353,0.00019359,0.00019353,0.00019357
1493622000,1.83783832,0.00019351,0.00019217,0.00019351,0.00019207,0.00019263
1493622300,2.07073032,0.00019217,0.00019219,0.00019295,0.00019175,0.00019197
1493622600,0.2453485,0.00019219,0.00019258,0.00019258,0.00019183,0.0001923
1493622900,2.27268538,0.00019183,0.00019278,0.00019291,0.00019183,0.0001927
1493623200,1.03532599,0.00019278,0.00019278,0.0001929,0.00019278,0.00019286
1493623500,0.84656303,0.00019278,0.00019297,0.00019297,0.00019278,0.00019294
1493623800,3.52224853,0.00019295,0.00019285,0.000193,0.00019285,0.00019298
1493624100,0.3593926,0.00019292,0.00019299,0.000193,0.00019285,0.00019298
1493624400,3.66649158,0.00019297,0.00019359,0.00019359,0.00019285,0.00019338
1493624700,8.25350881,0.00019304,0.00019417,0.0001953,0.00019304,0.00019439
1493625000,0.79501714,0.00019469,0.00019532,0.00019543,0.00019451,0.00019528
1493625300,0.56735737,0.00019532,0.00019535,0.00019535,0.00019532,0.00019532
1493625600,0.34827084,0.00019514,0.00019517,0.00019535,0.00019511,0.00019524
1493625900,0.53794205,0.0001953,0.0001955,0.0001955,0.00019517,0.00019523
1493626200,2.47275902,0.00019549,0.00019579,0.00019597,0.00019535,0.00019564
1493626500,0.56437273,0.00019535,0.00019584,0.00019599,0.00019535,0.00019588
1493626800,6.10825988,0.00019588,0.00019606,0.00019606,0.00019532,0.00019558
1493627100,14.51518896,0.00019602,0.00019597,0.00019606,0.00019551,0.000196
1493627400,4.98303058,0.00019563,0.00019512,0.00019597,0.000195,0.00019516
1493627700,0.66565476,0.000195,0.0001957,0.0001957,0.00019498,0.00019503
1493628000,2.5675175,0.00019519,0.00019566,0.00019567,0.0001951,0.00019566
1493628300,0.99298957,0.00019564,0.00019502,0.00019571,0.00019502,0.00019534
1493628600,2.48500339,0.00019573,0.00019505,0.00019574,0.00019501,0.00019521
1493628900,0.83756417,0.00019504,0.00019499,0.00019505,0.00019498,0.00019502
1493629200,19.0602703,0.000195,0.00019299,0.00019555,0.00019299,0.0001945
1493629500,25.297047,0.00019299,0.00019107,0.00019299,0.0001901,0.00019149
1493629800,1.32940986,0.0001911,0.00019175,0.00019175,0.00019108,0.00019156
1493630100,0.6146718,0.00019175,0.0001918,0.00019181,0.0001912,0.00019163
1493630400,6.11901276,0.00019176,0.0001918,0.0001918,0.00019158,0.00019173
1493630700,3.89278454,0.00019169,0.00019339,0.00019339,0.00019151,0.00019254
1493631000,1.14825232,0.00019339,0.00019301,0.00019393,0.00019259,0.00019341
1493631300,1.4609907,0.00019305,0.00019476,0.00019479,0.00019305,0.00019447
1493631600,0.86249718,0.00019476,0.00019435,0.00019476,0.00019344,0.00019414
1493631900,5.12394604,0.00019434,0.00019455,0.00019493,0.00019345,0.0001944
1493632200,1.8315341,0.00019455,0.0001948,0.00019488,0.00019455,0.00019479
1493632500,0.06442993,0.00019461,0.00019468,0.00019481,0.00019455,0.00019465
1493632800,0.0699621,0.00019468,0.00019478,0.00019481,0.00019468,0.00019475
1493633100,0.59407508,0.00019477,0.00019477,0.00019481,0.00019476,0.00019478
